benchmark,truth_set,reference,eval_mode,caller,aligner,platform,depth,depth_numeric,F1,caller_index,aligner_index,category_x,x,trajectory
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,HiFi,10x,10,0.8427,3,1,3,2.8,minimap2.sawfish.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,HiFi,30x,30,0.8957,3,1,3,3,minimap2.sawfish.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,HiFi,50x,50,0.8967,3,1,3,3.2,minimap2.sawfish.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,BGI,10x,10,0.6708,4,1,4,3.8,minimap2.SVDSS.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,BGI,30x,30,0.4054,4,1,4,4,minimap2.SVDSS.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,BGI,50x,50,0.2659,4,1,4,4.2,minimap2.SVDSS.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,ONT,10x,10,0.7962,4,1,4,3.8,minimap2.SVDSS.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,ONT,30x,30,0.7342,4,1,4,4,minimap2.SVDSS.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,ONT,50x,50,0.6885,4,1,4,4.2,minimap2.SVDSS.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,HiFi,10x,10,0.7871,4,1,4,3.8,minimap2.SVDSS.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,HiFi,30x,30,0.8543,4,1,4,4,minimap2.SVDSS.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,minimap2,HiFi,50x,50,0.8382,4,1,4,4.2,minimap2.SVDSS.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,BGI,10x,10,0.7926,1,2,5.65,5.45,winnowmap.cuteSV.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,BGI,30x,30,0.8229,1,2,5.65,5.65,winnowmap.cuteSV.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,BGI,50x,50,0.8483,1,2,5.65,5.8500000000000005,winnowmap.cuteSV.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,ONT,10x,10,0.7684,1,2,5.65,5.45,winnowmap.cuteSV.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,ONT,30x,30,0.7935,1,2,5.65,5.65,winnowmap.cuteSV.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,ONT,50x,50,0.8513,1,2,5.65,5.8500000000000005,winnowmap.cuteSV.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,HiFi,10x,10,0.7032,1,2,5.65,5.45,winnowmap.cuteSV.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,HiFi,30x,30,0.7236,1,2,5.65,5.65,winnowmap.cuteSV.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,winnowmap,HiFi,50x,50,0.8217,1,2,5.65,5.8500000000000005,winnowmap.cuteSV.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,BGI,10x,10,0.7861,2,2,6.65,6.45,winnowmap.Sniffles2.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,BGI,30x,30,0.855,2,2,6.65,6.65,winnowmap.Sniffles2.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,BGI,50x,50,0.87,2,2,6.65,6.8500000000000005,winnowmap.Sniffles2.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,ONT,10x,10,0.7805,2,2,6.65,6.45,winnowmap.Sniffles2.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,ONT,30x,30,0.855,2,2,6.65,6.65,winnowmap.Sniffles2.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,ONT,50x,50,0.8706,2,2,6.65,6.8500000000000005,winnowmap.Sniffles2.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,HiFi,10x,10,0.6957,2,2,6.65,6.45,winnowmap.Sniffles2.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,HiFi,30x,30,0.8333,2,2,6.65,6.65,winnowmap.Sniffles2.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,winnowmap,HiFi,50x,50,0.8564,2,2,6.65,6.8500000000000005,winnowmap.Sniffles2.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,BGI,10x,10,0.8629,3,2,7.65,7.45,winnowmap.sawfish.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,BGI,30x,30,0.8719,3,2,7.65,7.65,winnowmap.sawfish.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,BGI,50x,50,0.8829,3,2,7.65,7.8500000000000005,winnowmap.sawfish.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,ONT,10x,10,0.8756,3,2,7.65,7.45,winnowmap.sawfish.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,ONT,30x,30,0.902,3,2,7.65,7.65,winnowmap.sawfish.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,ONT,50x,50,0.9118,3,2,7.65,7.8500000000000005,winnowmap.sawfish.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,HiFi,10x,10,0.8373,3,2,7.65,7.45,winnowmap.sawfish.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,HiFi,30x,30,0.8844,3,2,7.65,7.65,winnowmap.sawfish.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,winnowmap,HiFi,50x,50,0.9015,3,2,7.65,7.8500000000000005,winnowmap.sawfish.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,BGI,10x,10,0.6989,4,2,8.65,8.450000000000001,winnowmap.SVDSS.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,BGI,30x,30,0.4186,4,2,8.65,8.65,winnowmap.SVDSS.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,BGI,50x,50,0.2754,4,2,8.65,8.85,winnowmap.SVDSS.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,ONT,10x,10,0.804,4,2,8.65,8.450000000000001,winnowmap.SVDSS.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,ONT,30x,30,0.7495,4,2,8.65,8.65,winnowmap.SVDSS.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,ONT,50x,50,0.7006,4,2,8.65,8.85,winnowmap.SVDSS.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,HiFi,10x,10,0.7871,4,2,8.65,8.450000000000001,winnowmap.SVDSS.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,HiFi,30x,30,0.8495,4,2,8.65,8.65,winnowmap.SVDSS.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,winnowmap,HiFi,50x,50,0.8416,4,2,8.65,8.85,winnowmap.SVDSS.HiFi
